Date,WORLD ex USA Standard (Large+Mid Cap) ,,,
"Dec 31, 1969",100.000,,,
"Jan 30, 1970",97.900,,,
"Feb 27, 1970",96.690,,,
"Mar 31, 1970",96.680,,,
"Apr 30, 1970",86.580,,,
"May 29, 1970",80.230,,,
"Jun 30, 1970",81.140,,,
"Jul 31, 1970",84.390,,,
"Aug 31, 1970",86.080,,,
"Sep 30, 1970",88.780,,,
"Oct 30, 1970",86.410,,,
"Nov 30, 1970",83.550,,,
"Dec 31, 1970",86.590,,,
"Jan 29, 1971",90.710,,,
"Feb 26, 1971",91.880,,,
"Mar 31, 1971",96.650,,,
"Apr 30, 1971",98.810,,,
"May 31, 1971",99.670,,,
"Jun 30, 1971",101.470,,,
"Jul 30, 1971",104.120,,,
"Aug 31, 1971",102.570,,,
"Sep 30, 1971",102.360,,,
"Oct 29, 1971",98.210,,,
"Nov 30, 1971",100.080,,,
"Dec 31, 1971",115.420,,,
"Jan 31, 1972",123.940,,,
"Feb 29, 1972",131.590,,,
"Mar 31, 1972",133.030,,,
"Apr 28, 1972",138.230,,,
"May 31, 1972",147.750,,,
"Jun 30, 1972",142.810,,,
"Jul 31, 1972",151.820,,,
"Aug 31, 1972",153.750,,,
"Sep 29, 1972",146.440,,,
"Oct 31, 1972",146.290,,,
"Nov 30, 1972",158.480,,,
"Dec 29, 1972",162.010,,,
"Jan 31, 1973",169.460,,,
"Feb 28, 1973",186.920,,,
"Mar 30, 1973",191.160,,,
"Apr 30, 1973",178.180,,,
"May 31, 1973",181.380,,,
"Jun 29, 1973",184.000,,,
"Jul 31, 1973",184.210,,,
"Aug 31, 1973",174.330,,,
"Sep 28, 1973",177.630,,,
"Oct 31, 1973",181.110,,,
"Nov 30, 1973",151.550,,,
"Dec 31, 1973",144.720,,,
"Jan 31, 1974",151.350,,,
"Feb 28, 1974",157.550,,,
"Mar 29, 1974",153.500,,,
"Apr 30, 1974",156.090,,,
"May 31, 1974",147.910,,,
"Jun 28, 1974",140.400,,,
"Jul 31, 1974",136.480,,,
"Aug 30, 1974",122.320,,,
"Sep 30, 1974",115.310,,,
"Oct 31, 1974",115.240,,,
"Nov 29, 1974",119.030,,,
"Dec 31, 1974",117.910,,,
"Jan 31, 1975",137.850,,,
"Feb 28, 1975",154.710,,,
"Mar 31, 1975",153.030,,,
"Apr 30, 1975",158.980,,,
"May 30, 1975",158.710,,,
"Jun 30, 1975",153.780,,,
"Jul 31, 1975",148.060,,,
"Aug 29, 1975",147.370,,,
"Sep 30, 1975",140.120,,,
"Oct 31, 1975",150.090,,,
"Nov 28, 1975",153.900,,,
"Dec 31, 1975",156.530,,,
"Jan 30, 1976",165.220,,,
"Feb 27, 1976",164.940,,,
"Mar 31, 1976",161.920,,,
"Apr 30, 1976",161.770,,,
"May 31, 1976",157.970,,,
"Jun 30, 1976",159.980,,,
"Jul 30, 1976",157.830,,,
"Aug 31, 1976",157.410,,,
"Sep 30, 1976",155.000,,,
"Oct 29, 1976",145.840,,,
"Nov 30, 1976",145.610,,,
"Dec 31, 1976",162.090,,,
"Jan 31, 1977",160.720,,,
"Feb 28, 1977",164.090,,,
"Mar 31, 1977",164.560,,,
"Apr 29, 1977",168.440,,,
"May 31, 1977",167.620,,,
"Jun 30, 1977",171.690,,,
"Jul 29, 1977",169.420,,,
"Aug 31, 1977",175.640,,,
"Sep 30, 1977",180.870,,,
"Oct 31, 1977",183.750,,,
"Nov 30, 1977",183.350,,,
"Dec 30, 1977",190.490,,,
"Jan 31, 1978",191.860,,,
"Feb 28, 1978",193.900,,,
"Mar 31, 1978",207.480,,,
"Apr 28, 1978",206.300,,,
"May 31, 1978",211.290,,,
